,customer_rating,text,business_id,name,city,restaurant_rating,longitude,latitude,categories,hours,address,state
0,4.0,"This is nice little Chinese bakery in the heart of Philadelphia's Chinatown! The female cashier was very friendly (flirtatious!) and the pastries shown in nicely adorned display cases. I stopped by early one evening had a sesame ball, which was filled with bean paste. The glutinous rice of the ball was nicely flavored, similar to Bai Tang Gao. Definitely as place worth stopping at if you are in the area.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
1,4.0,"This is the bakery I usually go to in Chinatown.  They have a decent variety of buns and pastries.  Red bean-filled buns, mung bean-filled buns, coconut stuff, egg tarts etc.  If you buy a dozen, they will give you two more for free.  The prices are standard for a Chinese bakery, with most things at approximately $1.  The service has always been good.  They do serve coffee and tea.  There are a couple of tables inside, with usually the expected group of older Chinese guys chillin' in the corner table debating about something.  Great place to stock up on the buns, which I usually do before leaving town.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
2,5.0,"A delightful find in Chinatown! Very clean, and very kind service. Everyone always seems happy in here, and their treats are absolutely delicious. You can also get a ton of sweet treats without any judgement! They're my favorite.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
3,5.0,I ordered a graduation cake for my niece and it came out absolutely perfect. Will come again for future events! Staff was nice also and the cake was really good.,MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
4,4.0,"HK-STYLE MILK TEA:  FOUR STARS

Not quite sure why there are two Saint Honore Pastries business listings on Yelp, but I have been checking in to this one.

Boyfriend and I go by it all the time while in Chinatown, but it never crossed our mind to try it.  I think we might have tried it once a year or two ago, but it wasn't memorable.  I decided to try the HK-style milk tea not too long ago and was hooked.  I think I went here almost every day one week to get the milk tea, only to realize that I should REALLY watch my sugar intake...it's sooo good!  

I personally don't think it's better than Zhong Gang's HK-style milk tea because they have their off days when a certain lady makes them (not enough ice, too much ice, etc.).

On a side note:  I wanted to try the crispy roast pork bun, but accidentally said the wrong name in Chinese and got the roast pork bun.  It was decent enough, although I will get to trying the crispy roast pork bun soon!  

I will be back~",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
5,4.0,"This is my favorite bakery in Chinatown! I usually get a pineapple bao (bun), red bean bao, and pork bun. 

These buns are the cheapest and they also have bags of multiple buns, with and without filling. They have boba but I've never tried it, as well as custard tarts. I love the buns and that's what I go here for. 

The service is decent. They don't speak much English, which isn't out of the ordinary in Chinatown. There's lots of seating and it's decently clean. 

Come here for the cheapest priced buns and baked goods (which are yummy) in Chinatown!",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
6,3.0,"so I dropped in to this store since it was the same company as you would find in Hong Kong. Thought it might have the same delicious pastries you would find in Hong Kong. Although you did find your egg tarts and sweet buns, they weren't as ... how would you call it... fresh. They didn't have the same ""zest"" as you would find at the little stores along the alley ways of Hong Kong.They do have egg tarts which will satisfy your craving but doesn't leave you as tickled as you would hope. They don't take credit cards by the way and there's a lot of construction going on around them so it looks like they're closed.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
7,4.0,"Impression: The good thing is that there are like 5-6 of these kinds of Asian Chinese bakeries around Chinatown- Mong Kok is another one that sells the same get up: sesame balls, roll cakes, taro buns, egg tarts, meat buns, ham and cheese breads- your typical Hong Kong South East Asian kinds of bakeries that sell their fares for less than 1$ each. The bad thing is, b/c it is the same as the rest, it may be hard to find something you've never tried before- but their cheese cakes looked to be their stand apart from other bakeries. This is the only ""Asian"" bakery on this street across from Nine Ting, the new Taiwanese popcorn chicken, right by Red King BBQ, and Wong Wong Restaurant. It's a solid Chinese bakery- neither fancy nor cheap and poor quality, neither special or bland but solid if you're looking for the typical Chinese desserts and pastries 

Because it's cheap, feel free to load up on a large stash of goodies! Egg tarts were 0.80$, sesame balls were also 0.80$ and the green tea roll cake was only 3.50$. I like to take these treats home and eat them slowly over the next few days. The sesame balls and the tarts taste great if you stick them in the microwave and zap it for 30 seconds to 1 min. Pair it with some good tea and you got yourself a nice afternoon tea for your studies/work/friends",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
8,4.0,"Best egg tarts? 

I was lucky to get them fresh and right out of the oven. Oh my goodness, a little piece of heaven they certainly were! With the right amount of flakiness and the sweet creamy filling, their egg tarts that I tried this time was probably one of the best that I've ever tried, if not the best. 

In terms of pricing, this bakery is on par with every other bakery in Chinatown. There really is not significant, if any, differential in terms of the prices.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
9,4.0,"Little square cakes of happiness with cute bunnies, cherries, and fruit, and for 90 cents each.... Don't mind if I do!  I still can't believe the prices in here.  I was wondering what was wrong with the cake at first for that price, but it was surprisingly as delicious as it looked.  Everything in here just looks appetizing.  I like Asian bakeries because the cakes are not overly sweet as most ones are in American Bakeries.  

      I have tried the chocolate cake, and different versions of the vanilla cake here (bunny and cherry).  Both were fluffy, moist, simple, and slightly sweet.  They didn't really have any difference in taste though.  The main difference here seems to be the cute decoration.  I'm okay with that though.  I get excited like a five year old child at the idea of what cute animal or fruit I will get on my cake next.  The mango pudding was okay, but not as good as I've had in some Thai restaurants, or even what I could make at home.  I haven't tried any of the buns, but they do look tasty and are priced right.  They also offer bubble tea and smoothies here, but I haven't tried them.  I'm always too distracted by the cake.

    You should drop by here after a nice dinner in Chinatown and get some sweets to take home.  It doesn't matter if you're still full from your meal like I usually am. The cute little cakes look and taste just as good the next day.",MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,-75.1555641,39.9555052,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",935 Race St,PA
